titles,rooms,areas,floors,renovations,materials,prices,addresses,lifts,securities,internets,playgrounds,sewerages,bathrooms,video_monitor,parking_spaces,air_conditions,furnitures
1-комнатная квартира на продажу,1,42 м²,9/12,Черновая отделка,Блочный,42 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Олмос, 1-й тупик Бахт Кули",Лифт,Охрана,No internet,Детская площадка,Канализация,No bathroom,Видеонаблюдение,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,75 м²,9/9,Средний,Панельный,80 000 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Катта Олмазор",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,86 м²,1/8,Евроремонт,Другое,110 000 у.е.,"город Ташкент, Яккасарайский район, массив Кушбеги",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,84 м²,2/4,Средний,Кирпичный,96 000 у.е.,"город Ташкент, Чиланзарский район, 1-й квартал, улица Лабихавуз",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,50 м²,4/4,Средний,Панельный,55 500 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Ахилобод, улица Ниязбек",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,136 м²,6/9,Авторский проект,Кирпичный,215 000 у.е.,"город Ташкент, Юнусабадский район, массив Кашгар",Лифт,Охрана,Интернет,Детская площадка,Канализация,Санузел раздельный,Видеонаблюдение,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,70 м²,6/9,Средний,Панельный,80 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Айбек, улица Саида Барака",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
3-комнатная квартира на продажу,3,75 м²,2/4,Средний,Кирпичный,96 000 у.е.,"город Ташкент, Чиланзарский район, 1-й квартал, улица Лабихавуз",no lift,No security,No internet,Детская площадка,Канализация,Санузел раздельный,No video_monitor,No parking_space,Кондиционер,No furniture
3-комнатная квартира на продажу,3,70 м²,2/4,Евроремонт,Панельный,77 999 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Кичик Хирмантепа",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,50 м²,2/4,Средний,Панельный,59 555 у.е.,"город Ташкент, Учтепинский район, жилой комплекс Фарход",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,60 м²,4/9,Евроремонт,Монолитный,63 555 у.е.,"город Ташкент, Учтепинский район, махаллинский сход граждан Ватан",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,No air_condition,No furniture
2-комнатная квартира на продажу,2,50 м²,2/4,Евроремонт,Панельный,62 999 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Нафосат",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,No air_condition,No furniture
